Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
"Teoria do Restauro, Teoria da Conservação, Conservação de Obra de arte, Restauro, Patrimônio, Obras restauradas, Teóricos do Restauro, viollet le duc, John Ruskin, camillo boito, camilo boito, cesare brandi, salvador munoz, salvador munoz vinas",MAS SP - Museu de Arte Sacra de São Paulo,2020-06-12,"['O Museu de Arte Sacra de São Paulo instituição da Secretaria de Cultura e Economia Criativa do Estado de São Paulo', 'convida a professora Titina Corso para esse Conversas MAS sobre as teorias e os fundamentos que norteiam as ações dos profissionais da conservação e restauração de obras de arte. No vídeo conheceremos um pouco mais sobre diversos teóricos ao longo da história e suas abordagens para com a conversação do patrimônio artístico e cultural. Titina Corso', 'é artista plástica', 'pedagoga e arte/educadora híbrida', 'desenvolvendo projetos com olhares para a transdisciplinaridade nas Artes e Educação Patrimonial. Strictu Senso em TIC’s na educação', 'Latu Sensu em Metodologia no Ensino Superior', 'graduação em Pedagogia e Artes Plásticas', 'especialista técnica em Conservação e Restauração de Arte Sacra e de bens culturais. Professora especialista no Museu de Arte Sacra de São Paulo. Siga nossas redes sociais  museuartesacra. Inscreva-se no canal. MAS 💒']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauro de porcelana, restauro de louça, louças quebrada como arrumar, quebrei uma louça e agora, restauro de faiança, restauro de azulejo, pintura de louça, como limpar louça e ceramica, como cuidar das cermâmicas, germana trocoli, museu arte sacra, restauro museu arte sacra",MAS SP - Museu de Arte Sacra de São Paulo,2020-10-23,"['O Museu de Arte Sacra de São Paulo instituição da Secretaria de Cultura e Economia Criativa do Estado de São Paulo', 'convida a professora Maria Germana Trócoli para esse Conversas MAS', 'um programa online que tem por objetivo debater temas relevantes para a sociedade', 'para a arte e para a cultura. No vídeo', 'a professora Germana aborda a utilização da resina acrílica CeramiCure como um recurso na Restauração de materiais como a porcelana', 'azulejos', 'faianças e cerâmicas em geral. A resina é um material versátil', 'atóxico', 'reversível e um excelente fundo nivelador. Só catalisa com o uso da luz de Led', 'permitindo um maior tempo de trabalho e aceita diversos tipos de acabamento- tintas', 'douramento e vernizes. Maria Germana Trócoli é especialista em azulejos', 'porcelanas', 'louças atuando no restauro e policromia de arte e arte sacra. Siga nossas redes sociais  museuartesacra. Inscreva-se no canal. MAS 💒']",False,"T, é, c, n, i, c, a",Explicativo,"Porcelanas, Faianças, Azulejos",['Vitreos'],"leigos, profissionais, iniciados","Canal do Museu Arte Sacra SP, suporte incomum, interessante de analisar"
"Laborarte, Fundaj, Fundação Joaquim Nabuco, Conservação Textil",Fundação Joaquim Nabuco,2019-09-27,"['Iniciado na última segunda-feira (23)', 'o curso é uma das capacitações correntes no Laboratório de Pesquisa e Restauração de Documentos e Obras de Arte (Laborarte)', 'na Fundação Joaquim Nabuco', 'campus Casa Forte. Com 25 participantes e até a sexta-feira (27) servidores', 'estudantes de história', 'museologia e arqueologia', 'além de inscritos de instituições públicas e privadas', 'são orientados pela professora Claudia Regina Nunes', 'especialista restauro na área têxtil no Instituto do Patrimônio Histórico e Artístico Nacional (Iphan) do Rio de Janeiro.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2021-10-14,"['Documentário sobre o estudo', 'a conservação e a restauração de 13 obras do acervo cultural público nordestino', 'boa parte ameaçada pelos cupins e pelo descaso. O trabalho do Laborarte/Fundaj no resgate de preciosidades do patrimônio artístico e cultural do País.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauro, restauracao, gravura, aldemir martins, restauro de papel","Ateliê, Arte e Restauração",2016-11-09,"['Após o clareamento químico da gravura', 'segue-se o controle de PH para que o papel tenha uma reserva alcalina que auxilia em sua preservação. A solução que contém hidróxido de cálcio é aplicada por aspersão e nela é adicionado o álcool etílico', 'a fim de obter-se uma maior penetração por capilaridade. Ao final', 'a gravura é acomodada entre duas placas de vidro e papel mata borrão sobrepostos por pesos para que o papel seque planificado.<br><br>Para mais informações', 'acesse nosso site e Instagram.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"museuartesacra, artesacra, arte sacra, museu de arte sacra, massp, mas, restauro, conservação, programa mais vida, zeladoria, patrimonio, entrevista, joao rossi",MAS SP - Museu de Arte Sacra de São Paulo,2019-07-19,"['João Rossi', 'conservador e restaurador do MAS', 'concedeu uma entrevista ao programa MaisVida da Rede Vida no último dia 15/07/2019. Confira um trecho dessa entrevista. Para assistí-la completa acesse o site do museu no nosso link na bio. Para conhecer mais do trabalho do João siga o insta restauro.sacra. Instagram do Museu Instagram do João museuartesacra conservaçãoerestauro conservação restauro zeladoria patrimônio artesacra']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, vaso de ceramica como fazer, vaso de cerâmica, pintura de vaso de cerâmica, pintura de vaso de gesso, esfumaçado pintura, cortiça, imitação cortiça, imitação do granito",Iolane Caron,2021-07-16,No vídeo de hoje você vai aprender uma ideia para Restaurar a pintura de um Vaso de Cerâmica que a pintura já está bem desgastada. Confira todas as dicas e salve o vídeo se gostou! NÃO SE ESQUEÇA DE SE INSCREVER NO CANAL acrilex​ tintas​​​ iolanecaron​​​​Instagram -Facebook,True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"papel tengujo, papel para restauração, papel para conservação, papel, fruto de arte, papel japonês",Fruto de Arte Materiais Artísticos,2017-01-11,"[{'Errata COLAS LINECO PARA CONSERVAÇÃO DE PAPEL': 'Esclarecemos que as colas LINECO em Pó de TRIGO e ARROZ'}, 'são sim resolúveis com água. Já a cola LINECO PVA líquida viscosa é permanente e NÃO é resolúvel.']",,,,,,,
"papel tengujo, papel para restauração, papel para conservação, papel, fruto de arte, papel japonês",Fruto de Arte Materiais Artísticos,2017-01-11,"['Errata<br>COLAS LINECO PARA CONSERVAÇÃO DE PAPEL:<br>Esclarecemos que as colas LINECO em Pó de TRIGO e ARROZ', 'são sim resolúveis com água.<br>Já a cola LINECO PVA líquida viscosa é permanente e NÃO é resolúvel. Papel fabricado com a celulose vegetal Musa Textilis (Abacá)', 'que também é chamado de cânhamo de Manila', 'é um papel extremamente útil para uma variedade de aplicações e', 'principalmente', 'como papel para conservação de outros papéis como gravuras', 'livros', 'documentos', 'fotos', 'desenhos', 'entre outros.<br><br>Todos os materiais apresentados nesse vídeo você encontra em nossa loja virtual.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"B72, Restauração, Restauro, Artconservation, Artrestoration, Conservação e restauração","Ateliê, Arte e Restauração",2018-05-02,"['Para mais informações', 'acesse nosso site ou Instagram e conheça um pouco mais sobre o nosso trabalho.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao<br><br>Música Panama Hat de Audionautix está licenciada sob uma licença Creative Commons Attribution ( creativecommons.org/licenses/by/4.0/) - Artista audionautix.com']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, restauração de gesso, restauração peças antigas, restauração de peças, tinta acrílica, peça de gesso, como fazer restauração, dicas para restaurar peças, peças religiosas",Iolane Caron,2020-07-09,"['Neste vídeo você vai acompanhar todo o processo que eu faço para fazer a restauração de uma peça danificada. Você vai ver o concerto dos defeitos', 'pintura', 'detalhes e todos os acabamentos! Compartilhe...  NÃO SE ESQUEÇA DE SE INSCREVER NO CANAL   artesanato  acrilex  iolanecaron E-mail de contato  Instagram  Facebook  Site  iolanecaron.com.br']",,,,,,,
"arte, restauração, conservação, conservação e restauração, obras de arte, restauro de obras de arte, restauro, Ateliê, Ateliê Arte e Restauração, reforço de borda, linho, materiais reversíveis, cesare brandi, ateliê de restauro, Hernando, Rejane, Beva 371, restaurador, Restauradores, profissão, cuidado com o patrimônio, restauradores de obras de arte, acervo artístico, patrimônio cultural, zeladores, Cultural, strip lining, trabalho de precisão","Ateliê, Arte e Restauração",2015-06-11,"['Vídeo - Reforço de borda.<br><br>Para mais informações', 'acesse nosso site e Instagram.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"reintegração, cromática, pictórica, mimético, mimética, ateliê, restauro de obra de arte, restauro, restauração, conservação, remoção de verniz, verniz oxidado, ateliê arte e restauração, Rejane Ferretto DAzevedo, obra de arte, Hernando Freire de Almeida","Ateliê, Arte e Restauração",2015-08-05,"['Conservação e restauração de uma obra de arte do artista Federico Del Campo. Reintegração pictórica/cromática utilizando a técnica Mimética.<br><br>Para mais informações', 'acesse nosso site e Instagram.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauro, arteerestauro, restauração, pintura, ost, arte, artconservation, artrestoration, ateliê, Ateliê Arte e Restauração, conservador-restaurador, conservador","Ateliê, Arte e Restauração",2019-05-10,"['Reintegração cromática de uma pintura sobre tela - atribuído a/assinado por Oscar Pereira da Silva.<br><br>Retoque realizado com pigmentos puros', 'restringindo somente nas lacunas de perdas de policromia.<br><br>Para mais informações', 'acesse nosso site ou Instagram e conheça um pouco mais sobre o nosso trabalho.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"restauração, Restauro, pintura mural, arte sacra, catedral de Sorocaba, sorocaba, artconservation, artrestoration, ateliê, studio, arte, Retoque, reintegração cromática, reintegração pictórica","Ateliê, Arte e Restauração",2017-04-12,"['Exemplo de uma reintegração cromática em pintura mural a óleo - Catedral Metropolitana de Sorocaba.<br><br>Para mais informações', 'acesse nosso site ou Instagram e conheça um pouco mais sobre o nosso trabalho.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"verniz, remocaodeverniz, restauro, obradearte, atelie, restauracao, Pintura, arte sacra, ost","Ateliê, Arte e Restauração",2017-03-30,"['Para mais informações', 'acesse nosso site ou Instagram e conheça um pouco mais sobre o nosso trabalho.<br><br>Para mais informações acesse nosso site e nossas redes sociais.<br><br> ateliearterestauracao.com.br <br> instagram.com/ateliearterestauracao<br> www.facebook.com/Ateliearterestauracao/']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, artes, gesso, restauração, restaurar gesso, restauração de gesso, como restaurar uma peça, verniz vitral, esmalte vitral, pátina cera, envelhecimento, técnica, cerâmica",Iolane Caron,2018-05-10,"['Para quem é do ramo de artesanato sabe que sempre temos alguma peça antiga em casa que já perdeu um pouco de seu brilho. Neste vídeo vou ensinar a restaurar uma peça antiga de GESSO com alguns estilos de tintas comuns', 'como verniz vitral', 'esmalte vitral e pátina cera da Acrilex', 'deixando a peça com um aspecto envelhecido e muito atraente. Veja até o final que tem muita dica legal!! - CURTA MINHA PÁGINA NO FACEBOOK']",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, patina cera, patina cera metálica, tinta pva, verniz spray, restauração de gesso, restaurar peça de gesso, restaurar sagrada família, restauração de artesanato, peças antigas de gesso, como fazer restauração de gesso",Iolane Caron,2018-09-17,"['Lista de Materiais (Acrilex) - Tinta PVA (Azul piscina', 'Verde Água', 'Verde Pistache', 'Rosa Antigo', 'Camurça Queimado). - Pátina Cera (Prata', 'Ouro', 'Dourado Solar', 'Cobre e Bronze). - Verniz Spray Acrilex. - Pincel de cerdas dura. Recebi algumas peças para restauração e não pude deixar de trazer um vídeo para vocês explicando passo a passo de como eu fiz para restaurar uma pintura de gesso e transformá-las dando cores', 'alegria e vida para essas peças incríveis. Lembrando que eu aproveitei o que já estava pintado anteriormente para não perder a arte que já havia sido feita nas peças.']",True,"L, e, i, g, a",Artesanato,religioso,gesso,"leigos, religiosos","Engajamento, Repintura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, artesanato em cimento, restauração de peças de gesso, restauração de peças, como restaurar uma peça de cimento, como fazer a restauração de um santo de cimento, como restaurar peças de igreja, artesanato em igrejas",Iolane Caron,2022-09-19,"['Você gosta de restauração de peças Então você precisa me acompanhar! Estou restaurando 3 peças que recebi e quero compartilhar o processo com vocês. Se você quer acompanhar todo o processo e ver o resultado', 'é só me acompanhar no Instagram iolanecaron']",True,"T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, massa ceramica, massa ceramica fria, massa ceramica acrilex, massa ceramica acrilex como usar, massa ceramica acrilex preço, massa ceramica da acrilex, restauração de gesso, restaurar peça de gesso, como restaurar uma peça de gesso, gesso, ceramica",Iolane Caron,2019-02-14,"['A restauração é uma das técnicas que mais me encanta', 'pois a satisfação de receber uma peça danificada', 'ou desgastada pelo tempo', 'e transformá-la em uma peça nova (como se tivesse feito naquele momento)', 'é muito grande!! E com o intuito de dividir isso com vocês', 'trouxe hoje no canal um vídeo explicando a fazer algumas restaurações com a MASSA CERÂMICA da Acrilex!! Qualquer dúvida deixem nos comentários!! NÃO SE ESQUEÇA DE SE INSCREVER NO CANAL  restaurargesso massaceramica iolanecaron E-mail de contato - Instagram - Facebook - Site']",,,,,,,
,Deum Laudamus Arte Sacra e Restauração,2016-08-11,['Imagem da Padroeira da Capela de mesmo titulo do território paroquial de N. Sra da Ajuda - Peixinhos Olinda<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaudamus e nosso Blog felipemelo15.blogspot.com.br'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2017-08-31,"['Imagem do Horto da Capela Nossa Senhora das Dores', 'Alto do Pe. Cícero Território da Paroquia de São Pio X - Camaragibe - PE<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso   phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2018-05-04,"['Imagem particular da Sra. Vera Diretora do Colégio São Judas Tadeu', 'Camaragibe - PE <br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina www.facebook.com/ArteSacraeRe...<br>Visitem também nosso  Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2017-08-19,"['Imagem do Altar Mor da Capela da Assunção de Maria', 'territorio da Paróquia Santo Antonio - Vila Tamandaré que tem como Pároco o Reverendíssimo Pe. Heverton di Castro<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site  /phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2017-12-14,"['Imagem de 1', '90cm em fibra de vidro encomendada pelo Reverendíssimo Pe. Josias Barbosa', 'feita pelo Diac. Genival', 'a Imagem ficava na torre da igreja', 'depois de restaurada pela Arte Sacra E Restauração Deum Laudamus', 'na atual administração do Pe. Alberes foi inaugurada e abençoada em 8 de Dezembro de 2017 em sua Matriz Paróquia N. S. Da Conceição Mangueira.<br>O video mostra desde a decida da imagem', 'o processo de restauro', 'entronização e benção da mesma no monumento que foi erguido em frente a sua Matriz.<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2018-01-29,"['Imagem da Paroquia Nossa Senhora da Ajuda', 'Peixinhos Olinda - PE Pároco Pe. Nilson Lourenço <br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina  facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2014-07-07,"['Restauração da minha imagem da virgem dolorosa barroca', 'toda transformação do gesso a pintura.<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaudamus e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2015-12-30,['Restauração e recuperação da Imagem de N. Sra. das Graças que foi colocada as mãos e trocada a cabeça. imagem de devoção particular.<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina  facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso  Site phelipemelo15.wix.com/deumlaudamus e nosso Blog felipemelo15.blogspot.com.br'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos",devoção particular,escultura,"leigos, religiosos","Quantidade de visualizações, quantidade de likes"
,Deum Laudamus Arte Sacra e Restauração,2017-05-10,"['Imagem do Altar mor da Capela do mesmo titulo na comunidade de Céu azul', 'território da Paróquia São Pio X', 'Camaragibe -PE<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2017-10-18,"['Imagem particular', 'mas de devoção popular no Território da Paroquia de São Gonçalo do Amarante', 'Itapissuma - PE<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina  facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso  Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2018-05-26,"['Imagem do Altar mor da Paróquia Santo Antonio Vila Tamandaré', 'Recife - PE<br>Agradeço ao Reverendíssimo Pe. Heverton di Castro<br>(Ao se inscrever no Canal ativem o sininho para receber novos videos)<br>Se inscreva em nosso canal!<br>Curta Nossa Pagina /www.facebook.com/ArteSacraeRe...<br>Visitem também nosso Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"L, e, i, g, a",processos,religioso,gesso,"leigos, religiosos",Engajamento geral
,Deum Laudamus Arte Sacra e Restauração,2016-12-23,"['Restauração de São Sebastião estilo barroco - Imagem processional da Capela do mesmo titulo', 'território da Paróquia Nossa Senhora da Ajuda<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaud... e nosso Blog felipemelo15.blogspot.com.br']",False,"T, é, c, n, i, c, a",processos,religioso,escultura sacra,"leigos, religiosos","Quantidade de visualizações, quantidade de likes, quantidade de comentários"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, restauração, como restaurar uma peça, como passar verniz spray, como pintar com tinta spray, tinta spray acrilex, color city, colorcity, color city acrilex, spray color city",Iolane Caron,2020-02-24,['Hoje eu trouxe para vocês o passo a passo que eu fiz para fazer a restauração de um cálice de madeira! Recebi esta peça em meu ateliê para mudar um pouco o visual e no final você verá como ficou o resultado.. Compartilhe!!<br><br>  NÃO SE ESQUEÇA DE SE INSCREVER NO CANAL artesanato acrilex iolanecaron E-mail de contato Instagram Facebook Site'],True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
